#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
JBH,20130510,10:04:08.882,ENTER,17.080,900,0,15372,,0,6267643730648570249,,B,,,,110,
JBH,20130510,10:04:08.883,AMEND,17.030,1067,,18171.01,,0,,6267643730648534898,A,09:46:58,17.010,1067,,150
JBH,20130510,10:04:09.146,DELETE,,,,,,0,6267643730648569724,,B,,,,366,
JBH,20130510,10:04:09.147,ENTER,17.420,172,0,2996.24,,0,6267643730648570253,,B,,,,366,
JBH,20130510,10:04:09.154,DELETE,,,,,,0,6267643730648566918,,B,,,,366,
JBH,20130510,10:04:09.155,AMEND,17.420,112,,1951.04,,0,6267643730648570253,,B,10:04:09,17.420,172,366,
JBH,20130510,10:04:09.155,AMEND,17.550,254,,4457.7,,0,6267643730648534904,,B,09:46:59,17.520,254,203,
JBH,20130510,10:04:09.160,DELETE,,,,,,0,6267643730648539320,,B,,,,366,
JBH,20130510,10:04:09.161,ENTER,17.420,149,0,2595.58,,0,6267643730648570258,,B,,,,366,
JBH,20130510,10:04:09.170,AMEND,17.420,120,,2090.4,,0,6267643730648570258,,B,10:04:09,17.420,149,366,
JBH,20130510,10:04:09.174,ENTER,17.420,89,0,1550.38,,0,6267643730648570262,,B,,,,366,
JBH,20130510,10:04:09.203,DELETE,,,,,,0,,6267643730648569670,A,,,,,299
JBH,20130510,10:04:09.215,ENTER,16.690,34,0,567.46,,0,,6267643730648570266,A,,,,,299
JBH,20130510,10:04:09.367,DELETE,,,,,,0,6267643730648570206,,B,,,,203,
JBH,20130510,10:04:09.395,ENTER,17.030,709,0,12074.27,,0,,6267643730648570277,A,,,,,203
JBH,20130510,10:04:09.648,DELETE,,,,,,0,6267643730648570262,,B,,,,366,
JBH,20130510,10:04:09.648,ENTER,17.420,94,0,1637.48,,0,6267643730648570284,,B,,,,366,
JBH,20130510,10:04:09.650,AMEND,17.020,1067,,18160.34,,0,,6267643730648534898,A,09:46:58,17.030,1067,,150
JBH,20130510,10:04:09.652,AMEND,17.030,1067,,18171.01,,0,,6267643730648534898,A,09:46:58,17.020,1067,,150
JBH,20130510,10:04:09.655,DELETE,,,,,,0,6267643730648570258,,B,,,,366,
JBH,20130510,10:04:09.656,DELETE,,,,,,0,6267643730648570284,,B,,,,366,
JBH,20130510,10:04:09.657,ENTER,17.420,125,0,2177.5,,0,6267643730648570291,,B,,,,366,
